instance_type,instance_seed,m,q,horizon,utility,method,evaluated_objective,exposure_entropy,covered_groups_tau_1.0,runtime_sec,planning_calls,objective_evaluations,initial_distribution_residual,flow_residual,max_flow_residual,layer_mass_error,min_occupancy
allocation_scaling,3002,16,5,60,soft,OCG K=20,15.739349824701403,2.7628218710941903,16,0.017428599996492267,20,20,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0
allocation_scaling,3002,16,5,60,soft,OCG K=40,15.784722744332463,2.7697789582829575,16,0.03459250001469627,40,40,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
allocation_scaling,3002,16,5,60,soft,FW K=40,15.75305793566049,2.7708707566727075,16,0.0960577999940142,40,1757,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.7763568394002505e-15,0.0
allocation_scaling,3002,16,5,60,log,Additive,13.444115328722335,1.432445218910265,5,0.0011210999800823629,1,1,0.0,0.0,0.0,7.771561172376096e-16,0.0
allocation_scaling,3002,16,5,60,log,OCG K=20,26.97423622437349,2.743914651184369,16,0.0184239000082016,20,20,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.440892098500626e-16,0.0
allocation_scaling,3002,16,5,60,log,OCG K=40,27.1123864848468,2.7473101943622695,16,0.03959160001249984,40,40,1.6653345369377348e-16,8.326672684688674e-17,1.6653345369377348e-16,2.220446049250313e-16,0.0
allocation_scaling,3002,16,5,60,log,FW K=40,26.927135663701833,2.748950274530496,16,0.09009660000447184,40,1757,2.220446049250313e-16,1.942890293094024e-16,2.220446049250313e-16,1.3322676295501878e-15,0.0
allocation_scaling,3003,16,5,60,soft,Additive,4.999999621754759,1.606786726598596,5,0.0023458999930880964,1,1,0.0,0.0,0.0,4.440892098500626e-16,0.0
allocation_scaling,3003,16,5,60,soft,OCG K=20,15.807325852863285,2.7640488154730627,16,0.017958100012037903,20,20,2.7755575615628914e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.3322676295501878e-15,0.0
allocation_scaling,3003,16,5,60,soft,OCG K=40,15.830368273192057,2.7701840201749177,16,0.040556499967351556,40,40,5.551115123125783e-17,1.3877787807814457e-16,1.3877787807814457e-16,1.1102230246251565e-15,0.0
allocation_scaling,3003,16,5,60,soft,FW K=40,15.807284980775247,2.7605105751395107,16,0.09362780000083148,40,1757,1.1102230246251565e-16,1.6653345369377348e-16,1.6653345369377348e-16,1.3322676295501878e-15,0.0
allocation_scaling,3003,16,5,60,log,Additive,14.42623337381113,1.606786726598596,5,0.0008141000289469957,1,1,0.0,0.0,0.0,4.440892098500626e-16,0.0
allocation_scaling,3003,16,5,60,log,OCG K=20,27.736203719024097,2.757517461547719,16,0.01724890002515167,20,20,2.7755575615628914e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.3322676295501878e-15,0.0
allocation_scaling,3003,16,5,60,log,OCG K=40,27.885895268099688,2.7533207471866055,16,0.034110200009308755,40,40,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-15,0.0
allocation_scaling,3003,16,5,60,log,FW K=40,27.793908922485627,2.752425481657339,16,0.08970630000112578,40,1757,5.551115123125783e-17,1.3877787807814457e-16,1.3877787807814457e-16,1.3322676295501878e-15,0.0
allocation_scaling,3004,16,5,60,soft,Additive,2.999993772299428,0.894838331970687,3,0.0014807000407017767,1,1,0.0,0.0,0.0,4.440892098500626e-16,0.0
allocation_scaling,3004,16,5,60,soft,OCG K=20,15.80414942497018,2.768122841783058,16,0.01865790004376322,20,20,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0
allocation_scaling,3004,16,5,60,soft,OCG K=40,15.831796015143889,2.77086364608253,16,0.03500690002692863,40,40,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
allocation_scaling,3004,16,5,60,soft,FW K=40,15.811871438358349,2.7711884642825075,16,0.0911076000193134,40,1757,5.551115123125783e-17,1.6653345369377348e-16,1.6653345369377348e-16,6.661338147750939e-16,0.0
allocation_scaling,3004,16,5,60,log,Additive,9.682646797559512,0.894838331970687,3,0.0013756999978795648,1,1,0.0,0.0,0.0,4.440892098500626e-16,0.0
allocation_scaling,3004,16,5,60,log,OCG K=20,27.689015967705593,2.754121467126917,16,0.01736579998396337,20,20,5.551115123125783e-17,1.6653345369377348e-16,1.6653345369377348e-16,6.661338147750939e-16,0.0
allocation_scaling,3004,16,5,60,log,OCG K=40,27.828066632984758,2.7541212763965937,16,0.03518810000969097,40,40,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,4.440892098500626e-16,0.0
allocation_scaling,3004,16,5,60,log,FW K=40,27.61867913205849,2.7542183924746344,16,0.08901480003260076,40,1757,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.440892098500626e-16,0.0
allocation_scaling,3000,32,5,120,soft,Additive,5.246081504727983,1.557937840754965,5,0.002305499976500869,1,1,0.0,0.0,0.0,1.3322676295501878e-15,0.0
allocation_scaling,3000,32,5,120,soft,OCG K=20,31.482915888087913,3.4460694916604098,32,0.041051800013519824,20,20,2.7755575615628914e-17,1.942890293094024e-16,1.942890293094024e-16,4.440892098500626e-16,0.0
allocation_scaling,3000,32,5,120,soft,OCG K=40,31.60209400154916,3.459016519892418,32,0.08699799998430535,40,40,1.3877787807814457e-17,1.6653345369377348e-16,1.6653345369377348e-16,2.220446049250313e-16,0.0
allocation_scaling,3000,32,5,120,soft,FW K=40,31.578789022042915,3.4551882287068763,32,0.3919938000035472,40,1757,5.551115123125783e-17,1.6653345369377348e-16,1.6653345369377348e-16,4.440892098500626e-16,0.0
allocation_scaling,3000,32,5,120,log,Additive,17.69301150956671,1.557937840754965,5,0.0033525999751873314,1,1,0.0,0.0,0.0,1.3322676295501878e-15,0.0
allocation_scaling,3000,32,5,120,log,OCG K=20,54.31086649212079,3.4433722266764226,32,0.04135710000991821,20,20,1.3877787807814457e-17,1.3877787807814457e-16,1.3877787807814457e-16,3.3306690738754696e-16,0.0
allocation_scaling,3000,32,5,120,log,OCG K=40,54.732802055527564,3.45213105386832,32,0.08612940000602975,40,40,1.3877787807814457e-17,1.3877787807814457e-16,1.3877787807814457e-16,2.220446049250313e-16,0.0
allocation_scaling,3000,32,5,120,log,FW K=40,54.52299140697349,3.4545763578953195,32,0.41176550003001466,40,1757,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
allocation_scaling,3001,32,5,120,soft,Additive,4.999999999799726,1.5490783776057377,5,0.002574099984485656,1,1,0.0,0.0,0.0,4.440892098500626e-16,0.0
allocation_scaling,3001,32,5,120,soft,OCG K=20,31.519518631774368,3.4324958816682583,32,0.04947819997323677,20,20,5.551115123125783e-17,1.3877787807814457e-16,1.3877787807814457e-16,8.881784197001252e-16,0.0
allocation_scaling,3001,32,5,120,soft,OCG K=40,31.687341209804515,3.4625641969746654,32,0.0892444999772124,40,40,1.734723475976807e-18,1.3877787807814457e-16,1.3877787807814457e-16,8.881784197001252e-16,0.0
allocation_scaling,3001,32,5,120,soft,FW K=40,31.642038390171578,3.4485973499453384,32,0.4158875000430271,40,1757,5.551115123125783e-17,1.3877787807814457e-16,1.3877787807814457e-16,1.5543122344752192e-15,0.0
allocation_scaling,3001,32,5,120,log,Additive,17.619575782484514,1.5490783776057377,5,0.0026350999833084643,1,1,0.0,0.0,0.0,4.440892098500626e-16,0.0
allocation_scaling,3001,32,5,120,log,OCG K=20,55.7463842871943,3.4423297762486196,32,0.04837749997386709,20,20,5.551115123125783e-17,1.3877787807814457e-16,1.3877787807814457e-16,1.3322676295501878e-15,0.0
allocation_scaling,3001,32,5,120,log,OCG K=40,56.11697528610594,3.4492518497518185,32,0.08916239999234676,40,40,5.551115123125783e-17,1.3877787807814457e-16,1.3877787807814457e-16,1.1102230246251565e-15,0.0
allocation_scaling,3001,32,5,120,log,FW K=40,56.01143713183078,3.453109006245694,32,0.39932209998369217,40,1757,5.551115123125783e-17,1.3877787807814457e-16,1.3877787807814457e-16,1.5543122344752192e-15,0.0
allocation_scaling,3002,32,5,120,soft,Additive,5.837963743143346,1.4832101507394406,5,0.002621699997689575,1,1,0.0,0.0,0.0,3.1086244689504383e-15,0.0
allocation_scaling,3002,32,5,120,soft,OCG K=20,31.585815843514123,3.453472891737284,32,0.04177179996622726,20,20,2.7755575615628914e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.9984014443252818e-15,0.0
allocation_scaling,3002,32,5,120,soft,OCG K=40,31.683707666562064,3.4614090230108134,32,0.08513949997723103,40,40,6.938893903907228e-18,1.3877787807814457e-16,1.3877787807814457e-16,1.7763568394002505e-15,0.0
allocation_scaling,3002,32,5,120,soft,FW K=40,31.611910768878325,3.439554579146165,32,0.38664810004411265,40,1757,5.551115123125783e-17,1.6653345369377348e-16,1.6653345369377348e-16,1.7763568394002505e-15,0.0
allocation_scaling,3002,32,5,120,log,Additive,18.0519711507893,1.4832101507394406,5,0.002045600034762174,1,1,0.0,0.0,0.0,3.1086244689504383e-15,0.0
allocation_scaling,3002,32,5,120,log,OCG K=20,55.55412132047064,3.4389045410454244,32,0.044066900038160384,20,20,6.938893903907228e-18,1.1102230246251565e-16,1.1102230246251565e-16,1.5543122344752192e-15,0.0
allocation_scaling,3002,32,5,120,log,OCG K=40,56.23334856633771,3.437945290545072,32,0.10911280004074797,40,40,5.551115123125783e-17,1.6653345369377348e-16,1.6653345369377348e-16,1.5543122344752192e-15,0.0
allocation_scaling,3002,32,5,120,log,FW K=40,56.021613524350954,3.444892589248697,32,0.39534260000800714,40,1757,5.551115123125783e-17,1.6653345369377348e-16,1.6653345369377348e-16,1.3322676295501878e-15,0.0
allocation_scaling,3003,32,5,120,soft,Additive,4.9999999456172475,1.5124311899411764,5,0.002603400032967329,1,1,0.0,0.0,0.0,4.440892098500626e-16,0.0
allocation_scaling,3003,32,5,120,soft,OCG K=20,31.492668066673897,3.443246961320007,32,0.04233500000555068,20,20,2.7755575615628914e-17,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0
allocation_scaling,3003,32,5,120,soft,OCG K=40,31.657869799402253,3.461116260218253,32,0.08902899996610358,40,40,5.551115123125783e-17,1.3877787807814457e-16,1.3877787807814457e-16,1.1102230246251565e-15,0.0
allocation_scaling,3003,32,5,120,soft,FW K=40,31.630003081340504,3.4600070414462962,32,0.4018394000013359,40,1757,1.3877787807814457e-17,1.3877787807814457e-16,1.3877787807814457e-16,1.3322676295501878e-15,0.0
allocation_scaling,3003,32,5,120,log,Additive,17.40545991479362,1.5124311899411764,5,0.0022013999987393618,1,1,0.0,0.0,0.0,4.440892098500626e-16,0.0
allocation_scaling,3003,32,5,120,log,OCG K=20,55.16712234414632,3.430049226727963,32,0.04382150003220886,20,20,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-15,0.0
allocation_scaling,3003,32,5,120,log,OCG K=40,55.71424259691197,3.449993681658249,32,0.0849387000198476,40,40,5.551115123125783e-17,1.3877787807814457e-16,1.3877787807814457e-16,1.1102230246251565e-15,0.0
allocation_scaling,3003,32,5,120,log,FW K=40,55.526159923024,3.447769257011884,32,0.39659140002913773,40,1757,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-15,0.0
allocation_scaling,3004,32,5,120,soft,Additive,3.9999999999999996,1.3706506028710823,4,0.003270899993367493,1,1,0.0,0.0,0.0,6.661338147750939e-16,0.0
allocation_scaling,3004,32,5,120,soft,OCG K=20,31.559349875695492,3.4413194366272375,32,0.044090200040955096,20,20,1.3877787807814457e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.7763568394002505e-15,0.0
allocation_scaling,3004,32,5,120,soft,OCG K=40,31.67785217946172,3.4605883745572927,32,0.0903917999821715,40,40,5.551115123125783e-17,1.3877787807814457e-16,1.3877787807814457e-16,1.7763568394002505e-15,0.0
allocation_scaling,3004,32,5,120,soft,FW K=40,31.622411206242667,3.450557724600684,32,0.42161729995859787,40,1757,5.551115123125783e-17,1.3877787807814457e-16,1.3877787807814457e-16,1.3322676295501878e-15,0.0
allocation_scaling,3004,32,5,120,log,Additive,15.189953314795059,1.3706506028710823,4,0.0036014000070281327,1,1,0.0,0.0,0.0,6.661338147750939e-16,0.0
allocation_scaling,3004,32,5,120,log,OCG K=20,55.73681013983393,3.4401904482494325,32,0.04426480003166944,20,20,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.3322676295501878e-15,0.0
allocation_scaling,3004,32,5,120,log,OCG K=40,56.1289426841856,3.4479293058296485,32,0.09196809999411926,40,40,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.5543122344752192e-15,0.0
allocation_scaling,3004,32,5,120,log,FW K=40,55.83350410065064,3.4495881196545883,32,0.43453690002206713,40,1757,1.6653345369377348e-16,1.6653345369377348e-16,1.6653345369377348e-16,1.5543122344752192e-15,0.0
