instance_type,instance_seed,utility,K,method,objective,reference_objective,relative_gap
allocation,2008,soft,5,FW,7.862492426847925,7.928044546586974,0.008268384385815465
allocation,2008,soft,10,FW,7.903195174502105,7.928044546586974,0.0031343633274066346
allocation,2008,soft,20,FW,7.913057428184759,7.928044546586974,0.0018903928092415606
allocation,2008,soft,40,FW,7.916023144009822,7.928044546586974,0.0015163137021382044
allocation,2008,log,5,FW,13.821377255485618,14.005406250089193,0.0131398540904447
allocation,2008,log,10,FW,13.885107492319149,14.005406250089193,0.00858945150336342
allocation,2008,log,20,FW,13.91993167887814,14.005406250089193,0.0061029697878638
allocation,2008,log,40,FW,13.95446254124898,14.005406250089193,0.003637431712478097
allocation,2009,soft,5,FW,7.852348783061569,7.915498059538109,0.007977928363010095
allocation,2009,soft,10,FW,7.889567022545071,7.915498059538109,0.0032759829890667727
allocation,2009,soft,20,FW,7.8947768848422655,7.915498059538109,0.002617797962931052
allocation,2009,soft,40,FW,7.900424581580888,7.915498059538109,0.0019042993686364505
allocation,2009,log,5,FW,13.428430451651067,13.790180607078163,0.026232445080626308
allocation,2009,log,10,FW,13.56536942472545,13.790180607078163,0.01630226526818098
allocation,2009,log,20,FW,13.65480095867391,13.790180607078163,0.009817104812591522
allocation,2009,log,40,FW,13.72774834814513,13.790180607078163,0.004527298134223685
