instance_type,instance_seed,utility,method,K,evaluated_objective,history_min_delta,runtime_sec,planning_calls,objective_evaluations,line_search_tolerance,initial_distribution_residual,flow_residual,max_flow_residual,layer_mass_error,min_occupancy
allocation,2003,log,FW K=40,40,13.670684912616228,0.0008375360702324031,0.03689160000067204,40,1757,1e-08,1.1102230246251565e-16,1.6653345369377348e-16,1.6653345369377348e-16,8.881784197001252e-16,0.0
allocation,2004,soft,FW K=5,5,7.850231661459581,0.018552061753771554,0.004815800057258457,5,182,1e-08,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-15,0.0
allocation,2004,soft,FW K=10,10,7.896760211629491,0.0037705067748818877,0.008645699999760836,10,407,1e-08,2.7755575615628914e-17,1.6653345369377348e-16,1.6653345369377348e-16,1.3322676295501878e-15,0.0
allocation,2004,soft,FW K=20,20,7.902706414240284,0.00018877656660176712,0.019806800002697855,20,857,1e-08,6.938893903907228e-18,1.1102230246251565e-16,1.1102230246251565e-16,1.3322676295501878e-15,0.0
allocation,2004,soft,FW K=40,40,7.90713164708943,0.00010546915752840391,0.040716399962548167,40,1757,1e-08,1.1102230246251565e-16,1.3877787807814457e-16,1.3877787807814457e-16,1.1102230246251565e-15,0.0
allocation,2004,log,FW K=5,5,13.595609782160093,0.05117770827327561,0.003824999963399023,5,182,1e-08,0.0,8.326672684688674e-17,8.326672684688674e-17,1.1102230246251565e-15,0.0
allocation,2004,log,FW K=10,10,13.688692103104678,0.007959597557720244,0.0094882000121288,10,407,1e-08,2.7755575615628914e-17,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0
allocation,2004,log,FW K=20,20,13.737611326782257,0.001959491000754099,0.01803129998734221,20,857,1e-08,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-15,0.0
allocation,2004,log,FW K=40,40,13.77362114052363,0.0009100374923303178,0.0367040999699384,40,1757,1e-08,1.1102230246251565e-16,1.3877787807814457e-16,1.3877787807814457e-16,1.1102230246251565e-15,0.0
allocation,2005,soft,FW K=5,5,7.908459015005553,0.012864164516269483,0.0040754000074230134,5,182,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0
allocation,2005,soft,FW K=10,10,7.927364634275209,0.0007198671632782094,0.009923400008119643,10,407,1e-08,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0
allocation,2005,soft,FW K=20,20,7.931564655985262,8.78375496196071e-05,0.01971870003035292,20,857,1e-08,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0
allocation,2005,soft,FW K=40,40,7.9334392961568465,3.7592542459385925e-05,0.0393597999936901,40,1757,1e-08,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0
allocation,2005,log,FW K=5,5,14.103638903096336,0.0389651298654492,0.003920999995898455,5,182,1e-08,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0
allocation,2005,log,FW K=10,10,14.136624798892772,0.003172907547163817,0.008027900010347366,10,407,1e-08,5.551115123125783e-17,8.326672684688674e-17,8.326672684688674e-17,8.881784197001252e-16,0.0
allocation,2005,log,FW K=20,20,14.167176969842503,0.0010498285276305808,0.018359700043220073,20,857,1e-08,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0
allocation,2005,log,FW K=40,40,14.18961506235507,0.0005299130636586824,0.03803160000825301,40,1757,1e-08,6.938893903907228e-18,1.6653345369377348e-16,1.6653345369377348e-16,8.881784197001252e-16,0.0
allocation,2006,soft,FW K=5,5,7.868539349855365,0.010233843952154764,0.006514400010928512,5,182,1e-08,5.551115123125783e-17,8.326672684688674e-17,8.326672684688674e-17,4.440892098500626e-16,0.0
allocation,2006,soft,FW K=10,10,7.894035959249932,0.0025585702718000647,0.010870700003579259,10,407,1e-08,2.7755575615628914e-17,8.326672684688674e-17,8.326672684688674e-17,2.220446049250313e-16,0.0
allocation,2006,soft,FW K=20,20,7.901407898734336,0.0002716430561164884,0.020681299967691302,20,857,1e-08,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0
allocation,2006,soft,FW K=40,40,7.909463428731367,0.00016960500858154148,0.04345199995441362,40,1757,1e-08,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0
allocation,2006,log,FW K=5,5,13.736849407958994,0.0505465519840822,0.003802899969741702,5,182,1e-08,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0
allocation,2006,log,FW K=10,10,13.845418273149985,0.012789673005222824,0.010167800006456673,10,407,1e-08,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.440892098500626e-16,0.0
allocation,2006,log,FW K=20,20,13.923153440097842,0.00205380111017206,0.02156050002668053,20,857,1e-08,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.440892098500626e-16,0.0
allocation,2006,log,FW K=40,40,13.969039991538622,0.0013015907179614317,0.03873169998405501,40,1757,1e-08,1.6653345369377348e-16,1.1102230246251565e-16,1.6653345369377348e-16,8.881784197001252e-16,0.0
